"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Chifley","Participation rate (%)"," 73.2 "," 69.6 "," 66.4 "," 67.4 "," 68.4 "," 72.4 "," 76.0 "," 79.1 "," 82.6 "," 84.0 "," 86.3 "," 86.8 "," 85.4 "," 83.0 "," 74.5 "," 75.3 "," 73.9 "
"Cook","Total participants"," 1,171 "," 3,099 "," 3,183 "," 3,137 "," 3,209 "," 3,564 "," 4,021 "," 3,836 "," 3,842 "," 3,650 "," 3,387 "," 3,033 "," 2,307 "," 1,908 "," 2,319 "," 45,666 "," 86,538 "
"Cook","Eligible participants"," 1,409 "," 3,790 "," 3,969 "," 3,938 "," 4,039 "," 4,501 "," 4,935 "," 4,536 "," 4,475 "," 4,107 "," 3,755 "," 3,325 "," 2,527 "," 2,141 "," 2,809 "," 54,256 "," 105,251 "
"Cook","Participation rate (%)"," 83.1 "," 81.8 "," 80.2 "," 79.7 "," 79.5 "," 79.2 "," 81.5 "," 84.6 "," 85.9 "," 88.9 "," 90.2 "," 91.2 "," 91.3 "," 89.1 "," 82.6 "," 84.2 "," 82.2 "
"Cowper","Total participants"," 1,112 "," 2,527 "," 2,554 "," 2,557 "," 2,747 "," 3,236 "," 3,930 "," 4,155 "," 5,209 "," 5,173 "," 5,201 "," 4,632 "," 3,272 "," 2,417 "," 2,451 "," 51,173 "," 96,125 "
"Cowper","Eligible participants"," 1,516 "," 3,716 "," 3,650 "," 3,669 "," 3,771 "," 4,266 "," 4,929 "," 5,110 "," 6,133 "," 5,890 "," 5,754 "," 5,060 "," 3,603 "," 2,741 "," 3,098 "," 62,906 "," 121,322 "
"Cowper","Participation rate (%)"," 73.4 "," 68.0 "," 70.0 "," 69.7 "," 72.8 "," 75.9 "," 79.7 "," 81.3 "," 84.9 "," 87.8 "," 90.4 "," 91.5 "," 90.8 "," 88.2 "," 79.1 "," 81.3 "," 79.2 "
"Cunningham","Total participants"," 1,487 "," 4,256 "," 3,614 "," 3,489 "," 3,398 "," 3,807 "," 3,955 "," 4,015 "," 4,238 "," 3,865 "," 3,393 "," 2,925 "," 2,287 "," 1,697 "," 1,913 "," 48,339 "," 93,014 "
"Cunningham","Eligible participants"," 1,799 "," 5,237 "," 4,560 "," 4,352 "," 4,283 "," 4,686 "," 4,739 "," 4,700 "," 4,857 "," 4,358 "," 3,756 "," 3,249 "," 2,587 "," 1,988 "," 2,447 "," 57,598 "," 113,621 "
"Cunningham","Participation rate (%)"," 82.7 "," 81.3 "," 79.3 "," 80.2 "," 79.3 "," 81.2 "," 83.5 "," 85.4 "," 87.3 "," 88.7 "," 90.3 "," 90.0 "," 88.4 "," 85.4 "," 78.2 "," 83.9 "," 81.9 "
"Dobell","Total participants"," 1,392 "," 3,476 "," 3,205 "," 3,266 "," 3,224 "," 3,455 "," 3,979 "," 3,826 "," 4,279 "," 4,095 "," 3,991 "," 3,488 "," 2,564 "," 1,899 "," 2,106 "," 48,245 "," 90,717 "
"Dobell","Eligible participants"," 1,745 "," 4,681 "," 4,419 "," 4,334 "," 4,344 "," 4,510 "," 4,967 "," 4,646 "," 5,022 "," 4,678 "," 4,447 "," 3,835 "," 2,853 "," 2,180 "," 2,768 "," 59,429 "," 114,992 "
"Dobell","Participation rate (%)"," 79.8 "," 74.3 "," 72.5 "," 75.4 "," 74.2 "," 76.6 "," 80.1 "," 82.4 "," 85.2 "," 87.5 "," 89.7 "," 91.0 "," 89.9 "," 87.1 "," 76.1 "," 81.2 "," 78.9 "
"Eden-Monaro","Total participants"," 1,122 "," 2,553 "," 2,622 "," 2,909 "," 3,031 "," 3,484 "," 4,268 "," 4,282 "," 4,785 "," 4,521 "," 4,075 "," 3,120 "," 2,095 "," 1,370 "," 1,394 "," 45,631 "," 88,398 "
"Eden-Monaro","Eligible participants"," 1,412 "," 3,439 "," 3,531 "," 3,873 "," 3,980 "," 4,428 "," 5,293 "," 5,114 "," 5,533 "," 5,122 "," 4,561 "," 3,474 "," 2,393 "," 1,602 "," 1,771 "," 55,526 "," 110,537 "
"Eden-Monaro","Participation rate (%)"," 79.5 "," 74.2 "," 74.3 "," 75.1 "," 76.2 "," 78.7 "," 80.6 "," 83.7 "," 86.5 "," 88.3 "," 89.3 "," 89.8 "," 87.5 "," 85.5 "," 78.7 "," 82.2 "," 80.0 "
"Farrer","Total participants"," 1,245 "," 2,727 "," 2,719 "," 2,628 "," 2,812 "," 3,130 "," 3,625 "," 3,901 "," 4,497 "," 4,322 "," 4,093 "," 3,609 "," 2,680 "," 1,937 "," 1,915 "," 45,840 "," 88,006 "
"Farrer","Eligible participants"," 1,608 "," 4,081 "," 3,835 "," 3,755 "," 3,905 "," 4,264 "," 4,708 "," 4,867 "," 5,340 "," 5,008 "," 4,627 "," 4,046 "," 3,028 "," 2,251 "," 2,427 "," 57,750 "," 113,675 "
"Farrer","Participation rate (%)"," 77.4 "," 66.8 "," 70.9 "," 70.0 "," 72.0 "," 73.4 "," 77.0 "," 80.2 "," 84.2 "," 86.3 "," 88.5 "," 89.2 "," 88.5 "," 86.1 "," 78.9 "," 79.4 "," 77.4 "
"Fowler","Total participants"," 1,125 "," 3,547 "," 3,097 "," 2,888 "," 2,815 "," 3,065 "," 3,486 "," 3,459 "," 3,759 "," 3,634 "," 3,013 "," 1,994 "," 1,542 "," 1,076 "," 1,034 "," 39,534 "," 76,857 "
"Fowler","Eligible participants"," 1,492 "," 4,831 "," 4,461 "," 4,353 "," 4,263 "," 4,458 "," 4,840 "," 4,640 "," 4,897 "," 4,637 "," 3,732 "," 2,435 "," 1,940 "," 1,412 "," 1,445 "," 53,836 "," 106,108 "
"Fowler","Participation rate (%)"," 75.4 "," 73.4 "," 69.4 "," 66.3 "," 66.0 "," 68.8 "," 72.0 "," 74.5 "," 76.8 "," 78.4 "," 80.7 "," 81.9 "," 79.5 "," 76.2 "," 71.6 "," 73.4 "," 72.4 "
"Gilmore","Total participants"," 1,062 "," 2,441 "," 2,398 "," 2,409 "," 2,487 "," 2,900 "," 3,459 "," 3,917 "," 5,099 "," 5,482 "," 5,690 "," 4,844 "," 3,365 "," 2,266 "," 2,170 "," 49,989 "," 96,011 "
"Gilmore","Eligible participants"," 1,360 "," 3,435 "," 3,383 "," 3,345 "," 3,402 "," 3,839 "," 4,381 "," 4,730 "," 5,905 "," 6,138 "," 6,273 "," 5,307 "," 3,706 "," 2,565 "," 2,732 "," 60,501 "," 119,120 "
"Gilmore","Participation rate (%)"," 78.1 "," 71.1 "," 70.9 "," 72.0 "," 73.1 "," 75.5 "," 79.0 "," 82.8 "," 86.4 "," 89.3 "," 90.7 "," 91.3 "," 90.8 "," 88.3 "," 79.4 "," 82.6 "," 80.6 "
"Grayndler","Total participants"," 790 "," 3,480 "," 5,230 "," 5,423 "," 5,275 "," 4,992 "," 4,733 "," 3,834 "," 3,554 "," 3,052 "," 2,703 "," 1,967 "," 1,339 "," 969 "," 915 "," 48,256 "," 91,773 "
"Grayndler","Eligible participants"," 896 "," 4,012 "," 5,948 "," 6,302 "," 6,172 "," 5,757 "," 5,410 "," 4,398 "," 4,041 "," 3,415 "," 3,010 "," 2,232 "," 1,584 "," 1,155 "," 1,215 "," 55,547 "," 107,847 "
"Grayndler","Participation rate (%)"," 88.2 "," 86.7 "," 87.9 "," 86.1 "," 85.5 "," 86.7 "," 87.5 "," 87.2 "," 87.9 "," 89.4 "," 89.8 "," 88.1 "," 84.5 "," 83.9 "," 75.3 "," 86.9 "," 85.1 "
"Greenway","Total participants"," 1,297 "," 3,323 "," 3,182 "," 4,052 "," 4,615 "," 4,264 "," 4,028 "," 3,524 "," 3,398 "," 3,034 "," 2,644 "," 1,951 "," 1,177 "," 834 "," 776 "," 42,099 "," 82,213 "
"Greenway","Eligible participants"," 1,630 "," 4,374 "," 4,276 "," 5,719 "," 6,419 "," 5,693 "," 5,154 "," 4,307 "," 4,090 "," 3,551 "," 2,988 "," 2,200 "," 1,360 "," 989 "," 991 "," 53,741 "," 107,466 "
"Greenway","Participation rate (%)"," 79.6 "," 76.0 "," 74.4 "," 70.9 "," 71.9 "," 74.9 "," 78.2 "," 81.8 "," 83.1 "," 85.4 "," 88.5 "," 88.7 "," 86.5 "," 84.3 "," 78.3 "," 78.3 "," 76.5 "
"Hughes","Total participants"," 1,362 "," 3,497 "," 3,331 "," 3,527 "," 3,808 "," 4,134 "," 4,328 "," 3,945 "," 4,160 "," 3,638 "," 3,167 "," 2,741 "," 1,610 "," 1,073 "," 1,209 "," 45,530 "," 88,080 "
"Hughes","Eligible participants"," 1,617 "," 4,206 "," 4,066 "," 4,288 "," 4,676 "," 5,015 "," 5,192 "," 4,606 "," 4,673 "," 4,026 "," 3,454 "," 2,952 "," 1,760 "," 1,221 "," 1,480 "," 53,232 "," 105,118 "
"Hughes","Participation rate (%)"," 84.2 "," 83.1 "," 81.9 "," 82.3 "," 81.4 "," 82.4 "," 83.4 "," 85.6 "," 89.0 "," 90.4 "," 91.7 "," 92.9 "," 91.5 "," 87.9 "," 81.7 "," 85.5 "," 83.8 "
