"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Curtin","Total participants"," 1,238 "," 3,264 "," 3,370 "," 3,158 "," 2,970 "," 3,249 "," 3,893 "," 3,771 "," 3,660 "," 3,533 "," 3,167 "," 2,708 "," 2,121 "," 1,553 "," 1,800 "," 43,455 "," 82,759 "
"Curtin","Eligible participants"," 1,420 "," 3,873 "," 4,059 "," 3,844 "," 3,622 "," 3,896 "," 4,562 "," 4,363 "," 4,145 "," 3,943 "," 3,505 "," 2,958 "," 2,343 "," 1,750 "," 2,226 "," 50,509 "," 98,465 "
"Curtin","Participation rate (%)"," 87.2 "," 84.3 "," 83.0 "," 82.2 "," 82.0 "," 83.4 "," 85.3 "," 86.4 "," 88.3 "," 89.6 "," 90.4 "," 91.5 "," 90.5 "," 88.7 "," 80.9 "," 86.0 "," 84.0 "
"Durack","Total participants"," 612 "," 1,887 "," 2,722 "," 3,248 "," 3,088 "," 2,956 "," 3,231 "," 3,192 "," 3,257 "," 2,914 "," 2,335 "," 1,732 "," 1,168 "," 761 "," 568 "," 33,690 "," 66,626 "
"Durack","Eligible participants"," 891 "," 3,151 "," 4,317 "," 5,057 "," 4,755 "," 4,539 "," 4,771 "," 4,423 "," 4,297 "," 3,631 "," 2,801 "," 2,057 "," 1,378 "," 918 "," 788 "," 47,870 "," 98,054 "
"Durack","Participation rate (%)"," 68.7 "," 59.9 "," 63.1 "," 64.2 "," 64.9 "," 65.1 "," 67.7 "," 72.2 "," 75.8 "," 80.3 "," 83.4 "," 84.2 "," 84.8 "," 82.9 "," 72.1 "," 70.4 "," 67.9 "
"Forrest","Total participants"," 1,039 "," 2,204 "," 2,507 "," 2,931 "," 3,201 "," 3,495 "," 3,960 "," 3,780 "," 4,199 "," 4,164 "," 3,722 "," 2,909 "," 1,998 "," 1,361 "," 1,168 "," 42,638 "," 81,122 "
"Forrest","Eligible participants"," 1,294 "," 3,203 "," 3,455 "," 3,975 "," 4,240 "," 4,523 "," 4,909 "," 4,537 "," 4,939 "," 4,666 "," 4,162 "," 3,195 "," 2,219 "," 1,529 "," 1,463 "," 52,309 "," 102,874 "
"Forrest","Participation rate (%)"," 80.3 "," 68.8 "," 72.6 "," 73.7 "," 75.5 "," 77.3 "," 80.7 "," 83.3 "," 85.0 "," 89.2 "," 89.4 "," 91.0 "," 90.0 "," 89.0 "," 79.8 "," 81.5 "," 78.9 "
"Fremantle","Total participants"," 1,183 "," 3,277 "," 3,499 "," 3,910 "," 3,700 "," 3,603 "," 4,075 "," 3,764 "," 3,730 "," 3,338 "," 2,979 "," 2,163 "," 1,623 "," 1,109 "," 1,062 "," 43,015 "," 82,336 "
"Fremantle","Eligible participants"," 1,406 "," 4,103 "," 4,412 "," 4,861 "," 4,636 "," 4,542 "," 4,868 "," 4,394 "," 4,325 "," 3,840 "," 3,377 "," 2,433 "," 1,871 "," 1,314 "," 1,359 "," 51,741 "," 102,214 "
"Fremantle","Participation rate (%)"," 84.1 "," 79.9 "," 79.3 "," 80.4 "," 79.8 "," 79.3 "," 83.7 "," 85.7 "," 86.2 "," 86.9 "," 88.2 "," 88.9 "," 86.7 "," 84.4 "," 78.1 "," 83.1 "," 80.6 "
"Hasluck","Total participants"," 1,109 "," 2,795 "," 2,647 "," 2,870 "," 2,996 "," 3,099 "," 3,547 "," 3,521 "," 3,617 "," 3,393 "," 3,270 "," 2,486 "," 1,745 "," 1,146 "," 976 "," 39,217 "," 76,946 "
"Hasluck","Eligible participants"," 1,331 "," 3,675 "," 3,523 "," 3,739 "," 3,865 "," 3,932 "," 4,401 "," 4,200 "," 4,160 "," 3,849 "," 3,661 "," 2,809 "," 1,972 "," 1,335 "," 1,250 "," 47,702 "," 96,516 "
"Hasluck","Participation rate (%)"," 83.3 "," 76.1 "," 75.1 "," 76.8 "," 77.5 "," 78.8 "," 80.6 "," 83.8 "," 86.9 "," 88.2 "," 89.3 "," 88.5 "," 88.5 "," 85.8 "," 78.1 "," 82.2 "," 79.7 "
"Moore","Total participants"," 1,380 "," 3,550 "," 2,682 "," 2,815 "," 2,994 "," 3,427 "," 4,184 "," 4,407 "," 4,428 "," 4,085 "," 3,481 "," 2,310 "," 1,316 "," 957 "," 924 "," 42,940 "," 83,575 "
"Moore","Eligible participants"," 1,571 "," 4,254 "," 3,320 "," 3,461 "," 3,686 "," 4,128 "," 4,912 "," 5,094 "," 5,047 "," 4,579 "," 3,854 "," 2,514 "," 1,460 "," 1,094 "," 1,137 "," 50,111 "," 100,491 "
"Moore","Participation rate (%)"," 87.8 "," 83.5 "," 80.8 "," 81.3 "," 81.2 "," 83.0 "," 85.2 "," 86.5 "," 87.7 "," 89.2 "," 90.3 "," 91.9 "," 90.1 "," 87.5 "," 81.3 "," 85.7 "," 83.2 "
"O'Connor","Total participants"," 927 "," 2,088 "," 2,328 "," 2,642 "," 2,641 "," 2,961 "," 3,512 "," 3,646 "," 4,199 "," 3,951 "," 3,596 "," 2,728 "," 1,990 "," 1,299 "," 1,174 "," 39,682 "," 77,775 "
"O'Connor","Eligible participants"," 1,211 "," 3,196 "," 3,499 "," 3,843 "," 3,852 "," 4,036 "," 4,576 "," 4,621 "," 5,039 "," 4,546 "," 4,030 "," 3,094 "," 2,286 "," 1,518 "," 1,442 "," 50,790 "," 102,700 "
"O'Connor","Participation rate (%)"," 76.5 "," 65.3 "," 66.5 "," 68.7 "," 68.6 "," 73.4 "," 76.7 "," 78.9 "," 83.3 "," 86.9 "," 89.2 "," 88.2 "," 87.1 "," 85.6 "," 81.4 "," 78.1 "," 75.7 "
"Pearce","Total participants"," 1,391 "," 3,486 "," 3,950 "," 4,158 "," 3,839 "," 3,908 "," 4,491 "," 4,000 "," 3,612 "," 3,130 "," 2,921 "," 2,234 "," 1,522 "," 876 "," 672 "," 44,190 "," 85,213 "
"Pearce","Eligible participants"," 1,741 "," 4,885 "," 5,435 "," 5,674 "," 5,140 "," 5,183 "," 5,673 "," 4,912 "," 4,369 "," 3,658 "," 3,290 "," 2,518 "," 1,702 "," 1,004 "," 836 "," 56,020 "," 111,614 "
"Pearce","Participation rate (%)"," 79.9 "," 71.4 "," 72.7 "," 73.3 "," 74.7 "," 75.4 "," 79.2 "," 81.4 "," 82.7 "," 85.6 "," 88.8 "," 88.7 "," 89.4 "," 87.3 "," 80.4 "," 78.9 "," 76.3 "
"Perth","Total participants"," 898 "," 2,951 "," 4,008 "," 4,163 "," 3,671 "," 3,364 "," 3,448 "," 3,274 "," 3,361 "," 3,182 "," 2,727 "," 2,043 "," 1,563 "," 1,111 "," 1,300 "," 41,065 "," 80,654 "
"Perth","Eligible participants"," 1,049 "," 3,695 "," 4,936 "," 5,116 "," 4,599 "," 4,142 "," 4,169 "," 3,871 "," 3,889 "," 3,657 "," 3,111 "," 2,321 "," 1,789 "," 1,339 "," 1,669 "," 49,353 "," 100,133 "
"Perth","Participation rate (%)"," 85.6 "," 79.9 "," 81.2 "," 81.4 "," 79.8 "," 81.2 "," 82.7 "," 84.6 "," 86.4 "," 87.0 "," 87.7 "," 88.0 "," 87.4 "," 83.0 "," 77.9 "," 83.2 "," 80.5 "
"Stirling","Total participants"," 933 "," 2,752 "," 3,132 "," 3,567 "," 3,344 "," 3,241 "," 3,302 "," 3,122 "," 3,272 "," 3,315 "," 3,101 "," 2,564 "," 2,077 "," 1,538 "," 1,407 "," 40,668 "," 77,475 "
"Stirling","Eligible participants"," 1,129 "," 3,605 "," 4,156 "," 4,742 "," 4,328 "," 4,189 "," 4,095 "," 3,827 "," 3,879 "," 3,831 "," 3,542 "," 2,911 "," 2,333 "," 1,786 "," 1,824 "," 50,178 "," 98,820 "
"Stirling","Participation rate (%)"," 82.6 "," 76.3 "," 75.4 "," 75.2 "," 77.3 "," 77.4 "," 80.6 "," 81.6 "," 84.4 "," 86.5 "," 87.5 "," 88.1 "," 89.0 "," 86.1 "," 77.1 "," 81.0 "," 78.4 "
"Swan","Total participants"," 987 "," 3,413 "," 3,438 "," 3,465 "," 3,117 "," 2,915 "," 3,048 "," 3,005 "," 3,156 "," 3,097 "," 2,758 "," 2,128 "," 1,656 "," 1,273 "," 1,561 "," 39,017 "," 76,108 "
"Swan","Eligible participants"," 1,267 "," 4,491 "," 4,566 "," 4,612 "," 4,068 "," 3,705 "," 3,745 "," 3,638 "," 3,740 "," 3,611 "," 3,139 "," 2,388 "," 1,905 "," 1,465 "," 2,007 "," 48,347 "," 97,965 "
"Swan","Participation rate (%)"," 77.9 "," 76.0 "," 75.3 "," 75.1 "," 76.6 "," 78.7 "," 81.4 "," 82.6 "," 84.4 "," 85.8 "," 87.9 "," 89.1 "," 86.9 "," 86.9 "," 77.8 "," 80.7 "," 77.7 "
"Tangney","Total participants"," 1,308 "," 3,098 "," 2,388 "," 2,310 "," 2,587 "," 3,039 "," 3,547 "," 3,742 "," 3,944 "," 3,811 "," 3,424 "," 2,579 "," 1,998 "," 1,493 "," 1,822 "," 41,090 "," 78,602 "
"Tangney","Eligible participants"," 1,490 "," 3,689 "," 2,937 "," 2,882 "," 3,214 "," 3,723 "," 4,185 "," 4,304 "," 4,431 "," 4,259 "," 3,776 "," 2,810 "," 2,200 "," 1,673 "," 2,187 "," 47,760 "," 93,528 "
"Tangney","Participation rate (%)"," 87.8 "," 84.0 "," 81.3 "," 80.2 "," 80.5 "," 81.6 "," 84.8 "," 86.9 "," 89.0 "," 89.5 "," 90.7 "," 91.8 "," 90.8 "," 89.2 "," 83.3 "," 86.0 "," 84.0 "
"Western Australia (Total)","Total participants"," 17,637 "," 47,265 "," 49,206 "," 52,797 "," 51,016 "," 52,052 "," 58,598 "," 57,094 "," 58,312 "," 54,834 "," 49,382 "," 38,366 "," 27,609 "," 18,891 "," 17,956 "," 651,036 "," 1,260,687 "
"Western Australia (Total)","Eligible participants"," 21,625 "," 62,940 "," 65,888 "," 70,425 "," 67,433 "," 67,422 "," 73,013 "," 69,184 "," 68,814 "," 63,087 "," 55,782 "," 42,965 "," 31,194 "," 21,879 "," 22,618 "," 804,368 "," 1,607,020 "
"Western Australia (Total)","Participation rate (%)"," 81.6 "," 75.1 "," 74.7 "," 75.0 "," 75.7 "," 77.2 "," 80.3 "," 82.5 "," 84.7 "," 86.9 "," 88.5 "," 89.3 "," 88.5 "," 86.3 "," 79.4 "," 80.9 "," 78.4 "
"Bass","Total participants"," 760 "," 2,156 "," 1,968 "," 1,986 "," 2,070 "," 2,172 "," 2,659 "," 2,681 "," 2,963 "," 2,844 "," 2,702 "," 2,265 "," 1,671 "," 1,187 "," 1,176 "," 31,260 "," 58,904 "
"Bass","Eligible participants"," 946 "," 2,974 "," 2,749 "," 2,699 "," 2,715 "," 2,870 "," 3,335 "," 3,275 "," 3,459 "," 3,222 "," 2,974 "," 2,521 "," 1,856 "," 1,350 "," 1,466 "," 38,411 "," 74,391 "
"Bass","Participation rate (%)"," 80.3 "," 72.5 "," 71.6 "," 73.6 "," 76.2 "," 75.7 "," 79.7 "," 81.9 "," 85.7 "," 88.3 "," 90.9 "," 89.8 "," 90.0 "," 87.9 "," 80.2 "," 81.4 "," 79.2 "
"Braddon","Total participants"," 717 "," 1,638 "," 1,611 "," 1,648 "," 1,709 "," 1,905 "," 2,519 "," 2,604 "," 3,040 "," 2,943 "," 2,809 "," 2,354 "," 1,687 "," 1,225 "," 1,073 "," 29,482 "," 55,781 "
"Braddon","Eligible participants"," 940 "," 2,605 "," 2,510 "," 2,456 "," 2,544 "," 2,690 "," 3,302 "," 3,289 "," 3,599 "," 3,409 "," 3,162 "," 2,639 "," 1,895 "," 1,414 "," 1,369 "," 37,823 "," 73,413 "
"Braddon","Participation rate (%)"," 76.3 "," 62.9 "," 64.2 "," 67.1 "," 67.2 "," 70.8 "," 76.3 "," 79.2 "," 84.5 "," 86.3 "," 88.8 "," 89.2 "," 89.0 "," 86.6 "," 78.4 "," 77.9 "," 76.0 "
"Denison","Total participants"," 890 "," 2,397 "," 2,392 "," 2,304 "," 2,338 "," 2,375 "," 2,680 "," 2,704 "," 2,997 "," 2,808 "," 2,603 "," 2,124 "," 1,465 "," 1,131 "," 1,240 "," 32,448 "," 61,164 "
"Denison","Eligible participants"," 1,048 "," 3,035 "," 2,996 "," 2,848 "," 2,841 "," 2,896 "," 3,218 "," 3,118 "," 3,449 "," 3,160 "," 2,870 "," 2,349 "," 1,633 "," 1,299 "," 1,577 "," 38,337 "," 74,256 "
"Denison","Participation rate (%)"," 84.9 "," 79.0 "," 79.8 "," 80.9 "," 82.3 "," 82.0 "," 83.3 "," 86.7 "," 86.9 "," 88.9 "," 90.7 "," 90.4 "," 89.7 "," 87.1 "," 78.6 "," 84.6 "," 82.4 "
"Franklin","Total participants"," 848 "," 1,977 "," 2,009 "," 2,452 "," 2,516 "," 2,580 "," 2,963 "," 2,952 "," 3,406 "," 3,284 "," 3,143 "," 2,490 "," 1,799 "," 1,141 "," 1,115 "," 34,675 "," 65,231 "
"Franklin","Eligible participants"," 1,003 "," 2,523 "," 2,608 "," 3,067 "," 3,122 "," 3,172 "," 3,571 "," 3,472 "," 3,926 "," 3,691 "," 3,463 "," 2,742 "," 1,979 "," 1,315 "," 1,402 "," 41,056 "," 78,836 "
"Franklin","Participation rate (%)"," 84.5 "," 78.4 "," 77.0 "," 79.9 "," 80.6 "," 81.3 "," 83.0 "," 85.0 "," 86.8 "," 89.0 "," 90.8 "," 90.8 "," 90.9 "," 86.8 "," 79.5 "," 84.5 "," 82.7 "
"Lyons","Total participants"," 695 "," 1,678 "," 1,632 "," 1,701 "," 1,781 "," 2,149 "," 2,712 "," 2,940 "," 3,499 "," 3,476 "," 3,390 "," 2,562 "," 1,679 "," 934 "," 794 "," 31,622 "," 61,328 "
"Lyons","Eligible participants"," 859 "," 2,455 "," 2,397 "," 2,531 "," 2,566 "," 2,896 "," 3,432 "," 3,618 "," 4,131 "," 3,989 "," 3,792 "," 2,883 "," 1,889 "," 1,102 "," 996 "," 39,536 "," 78,532 "
"Lyons","Participation rate (%)"," 80.9 "," 68.4 "," 68.1 "," 67.2 "," 69.4 "," 74.2 "," 79.0 "," 81.3 "," 84.7 "," 87.1 "," 89.4 "," 88.9 "," 88.9 "," 84.8 "," 79.7 "," 80.0 "," 78.1 "
"Tasmania (Total)","Total participants"," 3,910 "," 9,846 "," 9,612 "," 10,091 "," 10,414 "," 11,181 "," 13,533 "," 13,881 "," 15,905 "," 15,355 "," 14,647 "," 11,795 "," 8,301 "," 5,618 "," 5,398 "," 159,487 "," 302,408 "
"Tasmania (Total)","Eligible participants"," 4,796 "," 13,592 "," 13,260 "," 13,601 "," 13,788 "," 14,524 "," 16,858 "," 16,772 "," 18,564 "," 17,471 "," 16,261 "," 13,134 "," 9,252 "," 6,480 "," 6,810 "," 195,163 "," 379,428 "
"Tasmania (Total)","Participation rate (%)"," 81.5 "," 72.4 "," 72.5 "," 74.2 "," 75.5 "," 77.0 "," 80.3 "," 82.8 "," 85.7 "," 87.9 "," 90.1 "," 89.8 "," 89.7 "," 86.7 "," 79.3 "," 81.7 "," 79.7 "
"Lingiari(c)","Total participants"," 316 "," 1,269 "," 1,827 "," 1,970 "," 1,844 "," 1,716 "," 1,936 "," 1,884 "," 1,820 "," 1,435 "," 940 "," 551 "," 320 "," 160 "," 121 "," 18,126 "," 35,030 "
"Lingiari(c)","Eligible participants"," 586 "," 3,017 "," 4,035 "," 4,232 "," 3,813 "," 3,609 "," 3,773 "," 3,302 "," 2,995 "," 2,290 "," 1,474 "," 848 "," 513 "," 276 "," 245 "," 35,104 "," 69,884 "
"Lingiari(c)","Participation rate (%)"," 53.9 "," 42.1 "," 45.3 "," 46.6 "," 48.4 "," 47.5 "," 51.3 "," 57.1 "," 60.8 "," 62.7 "," 63.8 "," 65.0 "," 62.4 "," 58.0 "," 49.4 "," 51.6 "," 50.1 "
"Solomon","Total participants"," 493 "," 1,632 "," 2,319 "," 2,502 "," 2,388 "," 2,179 "," 2,264 "," 2,211 "," 2,045 "," 1,694 "," 1,349 "," 853 "," 561 "," 278 "," 211 "," 22,980 "," 45,575 "
"Solomon","Eligible participants"," 720 "," 2,775 "," 3,647 "," 3,810 "," 3,519 "," 3,186 "," 3,210 "," 2,906 "," 2,679 "," 2,168 "," 1,652 "," 1,056 "," 694 "," 354 "," 283 "," 32,662 "," 68,217 "
"Solomon","Participation rate (%)"," 68.5 "," 58.8 "," 63.6 "," 65.7 "," 67.9 "," 68.4 "," 70.5 "," 76.1 "," 76.3 "," 78.1 "," 81.7 "," 80.8 "," 80.8 "," 78.5 "," 74.6 "," 70.4 "," 66.8 "
"Northern Territory (Total)","Total participants"," 809 "," 2,901 "," 4,146 "," 4,472 "," 4,232 "," 3,895 "," 4,200 "," 4,095 "," 3,865 "," 3,129 "," 2,289 "," 1,404 "," 881 "," 438 "," 332 "," 41,106 "," 80,605 "
"Northern Territory (Total)","Eligible participants"," 1,306 "," 5,792 "," 7,682 "," 8,042 "," 7,332 "," 6,795 "," 6,983 "," 6,208 "," 5,674 "," 4,458 "," 3,126 "," 1,904 "," 1,207 "," 630 "," 528 "," 67,766 "," 138,101 "
"Northern Territory (Total)","Participation rate (%)"," 61.9 "," 50.1 "," 54.0 "," 55.6 "," 57.7 "," 57.3 "," 60.1 "," 66.0 "," 68.1 "," 70.2 "," 73.2 "," 73.7 "," 73.0 "," 69.5 "," 62.9 "," 60.7 "," 58.4 "
"Canberra(d)","Total participants"," 2,092 "," 5,084 "," 5,343 "," 5,260 "," 4,990 "," 4,986 "," 5,624 "," 5,597 "," 5,654 "," 4,822 "," 4,518 "," 3,535 "," 2,360 "," 1,637 "," 1,679 "," 63,181 "," 121,232 "
"Canberra(d)","Eligible participants"," 2,433 "," 6,171 "," 6,464 "," 6,359 "," 6,134 "," 6,023 "," 6,651 "," 6,486 "," 6,437 "," 5,375 "," 4,962 "," 3,858 "," 2,630 "," 1,877 "," 2,162 "," 74,022 "," 145,631 "
"Canberra(d)","Participation rate (%)"," 86.0 "," 82.4 "," 82.7 "," 82.7 "," 81.3 "," 82.8 "," 84.6 "," 86.3 "," 87.8 "," 89.7 "," 91.1 "," 91.6 "," 89.7 "," 87.2 "," 77.7 "," 85.4 "," 83.2 "
"Fenner(e)","Total participants"," 1,642 "," 5,258 "," 5,864 "," 6,612 "," 6,474 "," 5,879 "," 5,407 "," 4,565 "," 4,343 "," 3,979 "," 3,701 "," 2,732 "," 1,834 "," 1,185 "," 1,082 "," 60,557 "," 116,281 "
"Fenner(e)","Eligible participants"," 2,008 "," 6,570 "," 7,233 "," 8,212 "," 7,956 "," 7,102 "," 6,453 "," 5,360 "," 4,943 "," 4,458 "," 4,085 "," 3,024 "," 2,035 "," 1,380 "," 1,387 "," 72,206 "," 142,477 "
"Fenner(e)","Participation rate (%)"," 81.8 "," 80.0 "," 81.1 "," 80.5 "," 81.4 "," 82.8 "," 83.8 "," 85.2 "," 87.9 "," 89.3 "," 90.6 "," 90.3 "," 90.1 "," 85.9 "," 78.0 "," 83.9 "," 81.6 "
"Australian Capital Territory (Total)","Total participants"," 3,734 "," 10,342 "," 11,207 "," 11,872 "," 11,464 "," 10,865 "," 11,031 "," 10,162 "," 9,997 "," 8,801 "," 8,219 "," 6,267 "," 4,194 "," 2,822 "," 2,761 "," 123,738 "," 237,513 "
"Australian Capital Territory (Total)","Eligible participants"," 4,441 "," 12,741 "," 13,697 "," 14,571 "," 14,090 "," 13,125 "," 13,104 "," 11,846 "," 11,380 "," 9,833 "," 9,047 "," 6,882 "," 4,665 "," 3,257 "," 3,549 "," 146,228 "," 288,108 "
"Australian Capital Territory (Total)","Participation rate (%)"," 84.1 "," 81.2 "," 81.8 "," 81.5 "," 81.4 "," 82.8 "," 84.2 "," 85.8 "," 87.8 "," 89.5 "," 90.8 "," 91.1 "," 89.9 "," 86.6 "," 77.8 "," 84.6 "," 82.4 "
"Australia Total ","Total participants"," 174,196 "," 482,333 "," 489,305 "," 511,302 "," 508,678 "," 531,331 "," 588,254 "," 570,227 "," 593,149 "," 552,288 "," 512,438 "," 418,817 "," 295,350 "," 206,186 "," 210,291 "," 6,644,192 "," 12,727,920 "
"Australia Total ","Eligible participants"," 214,742 "," 635,823 "," 648,323 "," 676,755 "," 666,534 "," 678,882 "," 728,239 "," 686,615 "," 695,601 "," 632,384 "," 574,969 "," 466,458 "," 333,113 "," 239,871 "," 267,028 "," 8,145,566 "," 16,006,180 "
"Australia Total ","Participation rate (%)"," 81.1 "," 75.9 "," 75.5 "," 75.6 "," 76.3 "," 78.3 "," 80.8 "," 83.0 "," 85.3 "," 87.3 "," 89.1 "," 89.8 "," 88.7 "," 86.0 "," 78.8 "," 81.6 "," 79.5 "
"Banks","Total participants"," 1,253 "," 3,263 "," 3,015 "," 3,018 "," 3,354 "," 3,554 "," 3,877 "," 3,932 "," 3,988 "," 3,504 "," 3,093 "," 2,540 "," 2,085 "," 1,672 "," 2,018 "," 44,166 "," 84,326 "
"Banks","Eligible participants"," 1,514 "," 4,095 "," 3,959 "," 4,070 "," 4,362 "," 4,511 "," 4,871 "," 4,787 "," 4,726 "," 4,069 "," 3,520 "," 2,870 "," 2,329 "," 1,943 "," 2,528 "," 54,154 "," 105,254 "
"Banks","Participation rate (%)"," 82.8 "," 79.7 "," 76.2 "," 74.2 "," 76.9 "," 78.8 "," 79.6 "," 82.1 "," 84.4 "," 86.1 "," 87.9 "," 88.5 "," 89.5 "," 86.1 "," 79.8 "," 81.6 "," 80.1 "
"Barton","Total participants"," 1,061 "," 3,205 "," 3,407 "," 3,853 "," 3,631 "," 3,847 "," 4,105 "," 3,821 "," 3,449 "," 3,217 "," 2,930 "," 2,418 "," 1,979 "," 1,525 "," 1,431 "," 43,879 "," 85,363 "
"Barton","Eligible participants"," 1,309 "," 4,101 "," 4,516 "," 5,273 "," 4,909 "," 4,895 "," 5,064 "," 4,761 "," 4,314 "," 3,848 "," 3,401 "," 2,786 "," 2,339 "," 1,832 "," 1,942 "," 55,290 "," 109,371 "
"Barton","Participation rate (%)"," 81.1 "," 78.2 "," 75.4 "," 73.1 "," 74.0 "," 78.6 "," 81.1 "," 80.3 "," 79.9 "," 83.6 "," 86.2 "," 86.8 "," 84.6 "," 83.2 "," 73.7 "," 79.4 "," 78.0 "
"Bennelong","Total participants"," 1,178 "," 3,486 "," 3,120 "," 3,338 "," 3,592 "," 3,621 "," 4,124 "," 4,096 "," 3,930 "," 3,603 "," 3,005 "," 2,351 "," 1,922 "," 1,585 "," 1,992 "," 44,943 "," 86,402 "
"Bennelong","Eligible participants"," 1,398 "," 4,264 "," 3,966 "," 4,420 "," 4,724 "," 4,584 "," 4,968 "," 4,883 "," 4,594 "," 4,110 "," 3,352 "," 2,606 "," 2,145 "," 1,817 "," 2,435 "," 54,266 "," 106,375 "
"Bennelong","Participation rate (%)"," 84.3 "," 81.8 "," 78.7 "," 75.5 "," 76.0 "," 79.0 "," 83.0 "," 83.9 "," 85.5 "," 87.7 "," 89.6 "," 90.2 "," 89.6 "," 87.2 "," 81.8 "," 82.8 "," 81.2 "
"Berowra","Total participants"," 1,562 "," 3,799 "," 2,616 "," 2,401 "," 3,084 "," 3,889 "," 4,562 "," 4,479 "," 4,552 "," 3,863 "," 3,401 "," 2,961 "," 2,050 "," 1,330 "," 1,609 "," 46,158 "," 89,052 "
"Berowra","Eligible participants"," 1,823 "," 4,450 "," 3,182 "," 2,977 "," 3,809 "," 4,738 "," 5,430 "," 5,183 "," 5,122 "," 4,300 "," 3,709 "," 3,182 "," 2,221 "," 1,479 "," 1,943 "," 53,548 "," 105,090 "
"Berowra","Participation rate (%)"," 85.7 "," 85.4 "," 82.2 "," 80.7 "," 81.0 "," 82.1 "," 84.0 "," 86.4 "," 88.9 "," 89.8 "," 91.7 "," 93.1 "," 92.3 "," 89.9 "," 82.8 "," 86.2 "," 84.7 "
"Blaxland","Total participants"," 1,216 "," 3,631 "," 3,412 "," 3,401 "," 3,184 "," 3,197 "," 3,395 "," 3,314 "," 3,462 "," 3,079 "," 2,593 "," 2,018 "," 1,527 "," 1,189 "," 1,382 "," 40,000 "," 78,552 "
"Blaxland","Eligible participants"," 1,595 "," 4,854 "," 4,813 "," 4,843 "," 4,501 "," 4,341 "," 4,502 "," 4,279 "," 4,340 "," 3,782 "," 3,082 "," 2,375 "," 1,823 "," 1,451 "," 1,823 "," 52,404 "," 104,435 "
"Blaxland","Participation rate (%)"," 76.2 "," 74.8 "," 70.9 "," 70.2 "," 70.7 "," 73.6 "," 75.4 "," 77.4 "," 79.8 "," 81.4 "," 84.1 "," 85.0 "," 83.8 "," 81.9 "," 75.8 "," 76.3 "," 75.2 "
"Bradfield","Total participants"," 1,615 "," 3,629 "," 2,557 "," 2,481 "," 3,303 "," 3,899 "," 4,777 "," 4,458 "," 4,061 "," 3,361 "," 3,265 "," 2,981 "," 2,285 "," 1,777 "," 2,225 "," 46,674 "," 88,810 "
"Bradfield","Eligible participants"," 1,833 "," 4,276 "," 3,109 "," 3,265 "," 4,261 "," 4,817 "," 5,636 "," 5,205 "," 4,646 "," 3,824 "," 3,639 "," 3,253 "," 2,487 "," 1,990 "," 2,734 "," 54,975 "," 106,071 "
"Bradfield","Participation rate (%)"," 88.1 "," 84.9 "," 82.2 "," 76.0 "," 77.5 "," 80.9 "," 84.8 "," 85.6 "," 87.4 "," 87.9 "," 89.7 "," 91.6 "," 91.9 "," 89.3 "," 81.4 "," 84.9 "," 83.7 "
"Calare","Total participants"," 1,255 "," 3,017 "," 3,108 "," 3,218 "," 3,080 "," 3,485 "," 3,959 "," 3,991 "," 4,430 "," 4,133 "," 4,059 "," 3,487 "," 2,422 "," 1,755 "," 1,615 "," 47,014 "," 90,155 "
"Calare","Eligible participants"," 1,627 "," 4,385 "," 4,437 "," 4,447 "," 4,237 "," 4,514 "," 5,005 "," 4,875 "," 5,167 "," 4,748 "," 4,513 "," 3,848 "," 2,729 "," 2,023 "," 2,048 "," 58,603 "," 115,497 "
"Calare","Participation rate (%)"," 77.1 "," 68.8 "," 70.0 "," 72.4 "," 72.7 "," 77.2 "," 79.1 "," 81.9 "," 85.7 "," 87.0 "," 89.9 "," 90.6 "," 88.8 "," 86.8 "," 78.9 "," 80.2 "," 78.1 "
"Chifley","Total participants"," 1,294 "," 3,834 "," 3,429 "," 3,662 "," 3,562 "," 3,479 "," 3,676 "," 3,572 "," 3,552 "," 3,214 "," 2,833 "," 2,099 "," 1,374 "," 901 "," 790 "," 41,271 "," 79,836 "
"Chifley","Eligible participants"," 1,767 "," 5,506 "," 5,163 "," 5,437 "," 5,204 "," 4,802 "," 4,836 "," 4,513 "," 4,301 "," 3,824 "," 3,283 "," 2,417 "," 1,608 "," 1,085 "," 1,060 "," 54,806 "," 108,016 "
"Chifley","Participation rate (%)"," 73.2 "," 69.6 "," 66.4 "," 67.4 "," 68.4 "," 72.4 "," 76.0 "," 79.1 "," 82.6 "," 84.0 "," 86.3 "," 86.8 "," 85.4 "," 83.0 "," 74.5 "," 75.3 "," 73.9 "
"Cook","Total participants"," 1,171 "," 3,099 "," 3,183 "," 3,137 "," 3,209 "," 3,564 "," 4,021 "," 3,836 "," 3,842 "," 3,650 "," 3,387 "," 3,033 "," 2,307 "," 1,908 "," 2,319 "," 45,666 "," 86,538 "
"Cook","Eligible participants"," 1,409 "," 3,790 "," 3,969 "," 3,938 "," 4,039 "," 4,501 "," 4,935 "," 4,536 "," 4,475 "," 4,107 "," 3,755 "," 3,325 "," 2,527 "," 2,141 "," 2,809 "," 54,256 "," 105,251 "
